customer_tweet_id,customer_text,customer_text_clean,brand_text,candidate_intent,gold_intent,label_notes
1502928,@AmazonHelp You’ve now delivered three consecutive orders late. You should really auto-refund expedited shipping fees when that happens.,You’ve now delivered three consecutive orders late. You should really auto-refund expedited shipping fees when that happens.,@468826 I'm sorry for the poor experience! We'd like to review your deliveries and available options here: https://t.co/hApLpMlfHN ^ZW,payment_billing,delivery_issue,1
799659,"@115830 I'm expecting a delivery using your Pass My Parcel service. It should be delivered to a local convenience store, but there's no store at the postcode provided!!! Please help","I'm expecting a delivery using your Pass My Parcel service. It should be delivered to a local convenience store, but there's no store at the postcode provided!!! Please help","@310570 Hello, We'd be happy to help Tan but we can not take personal details from you over social media for security. Please contact us directly for assistance with this https://t.co/JzP7hlA23B ^KK",delivery_issue,delivery_issue,1
163566,@115821 How have you allowed somebody to change my email address and password without notifying me?? Your security is a disgrace and customer service stinks!,How have you allowed somebody to change my email address and password without notifying me?? Your security is a disgrace and customer service stinks!,@153832 Oh no! So sorry to hear about the issues with your account! Have you already contacted us? You can also do so here:  https://t.co/zYVX1Qi29G ^GS,account_access,account_access,
2793129,"@115821 @115830 @AmazonHelp Order number: 205-8970008-6516341 
WHERE IS MY REFUND???? 
I have been calling u and emailing you for weeks. Your custmoure Care line don’t know what’s going on! Please sort this out ASAP.... #angery #TuesdayThoughts #Amazon #money #refund #nothappy",Order number: 205-8970008-6516341 WHERE IS MY REFUND???? I have been calling u and emailing you for weeks. Your custmoure Care line don’t know what’s going on! Please sort this out ASAP.... #angery #TuesdayThoughts #Amazon #money #refund #nothappy,"@708435 I'm so sorry for the poor experience! When you last spoke with us, what information or options were provided?  ^AG",technical_issue,return_refund,
381965,"@AmazonHelp I don't care about what you think about it, I care about the whereabouts of my order","I don't care about what you think about it, I care about the whereabouts of my order",@206573 Did you drop in your details through the secure link above? ^NS,order_issue,delivery_issue,Order whereabouts/tracking is the primary issue.
635712,This @115821 customer service rep through chat has been the worst that I have ever dealt with from them.,This customer service rep through chat has been the worst that I have ever dealt with from them.,"@270751 I'm sorry to hear this. Without posting personal or account information, can you tell us more? Are you currently having trouble with an order? ^LI",customer_service,customer_service,Complaint about poor customer service.
2344025,@115821 is there another way to cancel an order than calling-in?  Communication with the phone representative is... let’s call it difficult,is there another way to cancel an order than calling-in? Communication with the phone representative is... let’s call it difficult,"@637819 If the order hasn't shipped you can cancel it following these steps: https://t.co/aVYoRqTYIV. If it has shipped, you can request that the carrier send the package back for a return. ^AF",cancellation_change,cancellation_change,Customer wants another way to cancel an order.
126326,"@AmazonHelp I haven't received my mobile yet, and you are asking for feedback. Now how low can you go? #pathetic https://t.co/ZwZiSO2rZt","I haven't received my mobile yet, and you are asking for feedback. Now how low can you go? #pathetic","@144362 The email sent to you is an automated feedback email. However, I'll be sure to share your comments on this as feedback with our team internally for a review. ^SF",payment_billing,delivery_issue,Customer has not received the mobile; this is a delivery issue.
276136,Gutted as @152044 #Butterfly #PictureDisc order now is delayed on @AmazonHelp @115830 😪 https://t.co/aK3in55q5K,Gutted as #Butterfly #PictureDisc order now is delayed on 😪,"@181968 Hi, I've checked the website and there seems to be a stock issue: https://t.co/Huj6g03Dty. Sorry for the inconvenience. ^JJ",order_issue,delivery_issue,Order is delayed.
1408360,@AmazonHelp The message on the Amazon app was unclear how I was supposed to buy an Audible book from the app. Basically says can’t buy here.,The message on the Amazon app was unclear how I was supposed to buy an Audible book from the app. Basically says can’t buy here.,@406717 Thank you for that info. You can provide any feedback or request a new feature for the iOS App at __email__' ^LR,technical_issue,technical_issue,Customer cannot purchase an Audible book through the app.
794465,@AmazonHelp Why i am not able to place order? https://t.co/hHBJ1uXLz5,Why i am not able to place order?,"@309427 That's unusual. We'd like to check this for you, kindly connect with us here: https://t.co/vlvfJr4nN9 ^SG",order_issue,order_issue,
2261774,@AmazonHelp Spoke with your CC but didn't get any positive response since i received it before 10 days. I was out of station &amp; opened it yesterday only. Mailed the details again. Waiting for a positive response.,Spoke with your CC but didn't get any positive response since i received it before 10 days. I was out of station and opened it yesterday only. Mailed the details again. Waiting for a positive response.,@658501 Sorry about the experience you had with or support team. Kindly share your details here: https://t.co/beaaDm0muc and we'll have this checked. ^GK,other,customer_service,Complaint about unresolved customer support response.
577075,@115821 Orderd my two new Alexa’s and Amazon delivered whilst I was away on Business - ‘items left at front door’! Items no longer at front door and under someone else’s Christmas tree I suspect -thanks Amazon. Next time please don’t leave my stuff outside assuming I will be home,Orderd my two new Alexa’s and Amazon delivered whilst I was away on Business - ‘items left at front door’! Items no longer at front door and under someone else’s Christmas tree I suspect -thanks Amazon. Next time please don’t leave my stuff outside assuming I will be home,"@255817 Hi, sorry to hear that. Please contact us here: https://t.co/JzP7hlA23B so an agent can look into this for you. ^JJ",technical_issue,delivery_issue,Package was delivered while customer was away and is now missing.
812527,"@AmazonHelp yes , it has been a week it should have been here last week as I ordered it with prime","yes , it has been a week it should have been here last week as I ordered it with prime",@313602 Sorry to hear your order is delayed. Let us know if the order does not arrive and we can look into this for you.^ES,prime_membership,delivery_issue,Order is delayed despite being placed with Prime.
2294268,"@115821 Here is how my hair color arrived. Contents ok, tho. https://t.co/daX2kryXnd","Here is how my hair color arrived. Contents ok, tho.","@666210 I'm glad to hear the contents/item itself isn't damaged, but I'm sorry to see the packaging arrived in that condition! Was the outer packaging of your shipment also damaged? ^BV",other,wrong_damaged_item,"Product packaging arrived damaged, but the contents were okay."
